Date,Vehicle ID,Route,Time,Location,Energy Level,Energy Consumed,Distance,Driving Time,Idle Time,Parking Time
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:51:34,"-74.503837,40.864462",65.37,1.93,0.77,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:52:36,"-74.516245,40.870186",65.39,0.00,1.23,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:53:11,"-74.522775,40.872375",64.97,2.40,0.60,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:54:11,"-74.537579,40.873469",65.27,0.00,1.25,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:54:38,"-74.544322,40.872034",64.55,4.06,0.60,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:55:21,"-74.552830,40.866862",63.36,6.71,0.92,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:56:12,"-74.561867,40.863571",62.69,3.82,0.85,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:56:55,"-74.569961,40.862592",62.68,0.03,0.69,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:58:25,"-74.589828,40.860493",61.08,9.04,1.69,0.03,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:59:32,"-74.605559,40.856411",60.31,4.35,1.40,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:00:12,"-74.612332,40.855031",59.97,1.91,0.59,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:00:36,"-74.617819,40.856203",60.76,0.00,0.49,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:01:05,"-74.623857,40.860259",60.79,0.00,0.68,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:01:35,"-74.630672,40.862233",60.79,0.01,0.62,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:02:05,"-74.634787,40.864110",60.68,0.59,0.41,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:03:10,"-74.643085,40.870375",60.23,2.56,0.99,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:03:39,"-74.646655,40.873079",60.21,0.14,0.43,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:04:06,"-74.649707,40.875723",60.04,0.94,0.39,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:04:27,"-74.650662,40.878055",59.93,0.64,0.27,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:04:48,"-74.651756,40.879942",59.84,0.48,0.24,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:05:22,"-74.657318,40.884003",59.58,1.47,0.65,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:05:43,"-74.660241,40.886661",59.40,1.04,0.39,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:06:08,"-74.664322,40.889921",59.02,2.14,0.50,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:06:30,"-74.665714,40.893520",58.90,0.64,0.43,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:06:50,"-74.669240,40.893248",58.58,1.82,0.34,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:07:34,"-74.680345,40.890535",58.11,2.65,0.98,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:08:20,"-74.695518,40.890522",56.87,7.00,1.28,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:08:46,"-74.704891,40.890905",56.45,2.37,0.79,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:09:08,"-74.712602,40.892328",56.85,0.00,0.68,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:09:25,"-74.717015,40.895935",57.11,0.00,0.55,0.00,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:09:57,"-74.722478,40.904089",56.83,1.59,1.02,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:10:22,"-74.729356,40.909052",56.98,0.00,0.80,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:10:53,"-74.740499,40.912349",56.96,0.11,1.01,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:11:29,"-74.754362,40.911994",56.89,0.43,1.17,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:11:44,"-74.759732,40.913227",57.08,0.00,0.48,0.00,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:12:04,"-74.765946,40.916022",56.49,3.33,0.61,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:12:33,"-74.775663,40.916859",55.80,3.88,0.83,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:12:54,"-74.780376,40.920710",55.00,4.54,0.60,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:13:17,"-74.785282,40.925212",54.28,4.09,0.67,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:13:30,"-74.789861,40.925374",53.80,2.72,0.39,0.00,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:14:02,"-74.800786,40.922791",54.55,0.00,0.97,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:14:26,"-74.806704,40.918034",54.90,0.00,0.73,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:14:44,"-74.812861,40.917159",54.68,1.26,0.55,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:15:15,"-74.824299,40.917926",55.86,0.00,0.98,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:15:39,"-74.832668,40.920102",55.28,3.25,0.76,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:16:03,"-74.841494,40.919478",55.72,0.00,0.76,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:16:26,"-74.849840,40.920981",55.50,1.21,0.73,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:17:26,"-74.871692,40.923124",53.92,8.97,1.86,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:18:07,"-74.885025,40.928250",53.46,2.56,1.27,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:18:54,"-74.901868,40.930692",52.69,4.38,1.45,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:20:08,"-74.927914,40.925091",52.22,2.62,2.29,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:20:59,"-74.946741,40.925112",51.76,2.63,1.59,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:21:29,"-74.957493,40.924176",51.98,0.00,0.91,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:21:53,"-74.965424,40.927606",51.62,2.06,0.78,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:22:31,"-74.979049,40.929352",51.73,0.00,1.18,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:23:15,"-74.994408,40.932989",49.63,11.87,1.37,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:24:18,"-75.017112,40.935352",48.49,6.44,1.95,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:25:28,"-75.041107,40.928163",48.22,1.50,2.18,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:26:27,"-75.061467,40.922728",48.62,0.00,1.84,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:27:04,"-75.071369,40.929239",48.40,1.24,1.15,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:27:37,"-75.082957,40.927852",49.04,0.00,1.05,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:28:09,"-75.093659,40.928710",48.46,3.24,0.93,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:28:49,"-75.103220,40.935481",48.09,2.09,1.12,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:29:10,"-75.104511,40.940415",48.01,0.45,0.56,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:30:06,"-75.114018,40.952042",46.93,6.09,1.52,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:30:50,"-75.117254,40.962544",46.00,5.29,1.22,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:31:22,"-75.119230,40.969324",45.39,3.42,0.78,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:31:41,"-75.123279,40.971434",45.30,0.51,0.45,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:32:25,"-75.133782,40.973497",45.09,1.17,1.04,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:33:37,"-75.138243,40.985100",44.77,1.83,1.35,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 09:34:09,"-75.141250,40.991749",44.90,0.00,0.78,0.01,0.00,0.00
